"","Keratinocyte","TSK","Melanocyte"
"spot 685",0.8657,0.1343,0
"spot 686",1,0,0
"spot 687",0.548,0.3112,0.1407
"spot 688",1,0,0
"spot 689",0.9664,0.0336,0
"spot 690",0.9273,0.0727,0
"spot 691",0.909,0,0.091
"spot 692",0.5311,0.4689,0
"spot 693",0.8107,0,0.1893
"spot 694",0.6864,0.3136,0
"spot 695",0.8734,0.1266,0
"spot 696",1,0,0
"spot 697",0.3236,0.5009,0.1755
"spot 698",0.9257,0.0741,2e-04
"spot 699",0.5726,0.4274,0
"spot 700",0.8029,0.1971,0
"spot 701",0.5916,0.4084,0
"spot 702",0.3531,0.483,0.1639
"spot 703",0.7848,0.1687,0.0465
"spot 704",0.7853,0.2147,0
"spot 705",0.6362,0.3638,0
"spot 706",1,0,0
"spot 707",0.9701,0.0299,0
"spot 708",0.9357,0.0643,0
"spot 709",0.7619,0.2381,0
"spot 710",0.8532,0.1468,0
"spot 711",1,0,0
"spot 712",1,0,0
"spot 713",1,0,0
"spot 714",0.7652,0.2348,0
"spot 715",0.9636,0.0364,0
"spot 716",0.9348,0.0652,0
"spot 717",0.8026,0.1974,0
"spot 718",0.8141,0.1859,0
"spot 719",0.6056,0.3944,0
"spot 720",0.4582,0.4555,0.0862
"spot 721",0.8336,0,0.1664
"spot 722",0.6135,0.3562,0.0302
"spot 723",1,0,0
"spot 724",0.8446,0.0616,0.0938
"spot 725",0.9561,0.0439,0
"spot 726",0.9963,0,0.0037
"spot 727",1,0,0
"spot 728",0.6119,0.3881,0
"spot 729",0.9155,0.0845,0
"spot 730",0.684,0.316,0
"spot 731",0.7292,0.2708,0
"spot 732",1,0,0
"spot 733",0.9155,0.0845,0
"spot 734",0.7193,0.2807,0
"spot 735",0.6221,0.2407,0.1372
"spot 736",1,0,0
"spot 737",1,0,0
"spot 738",0.7152,0.2848,0
"spot 739",0.9583,0,0.0417
"spot 740",0.887,0.0903,0.0227
"spot 741",0.5338,0.4662,0
"spot 742",0.5214,0.4786,0
"spot 743",1,0,0
"spot 744",0.8602,0.1398,0
"spot 745",0.5381,0.2293,0.2327
"spot 746",1,0,0
"spot 747",0.6071,0.3929,0
"spot 748",0.7283,0.2717,0
"spot 749",1,0,0
"spot 750",0.7767,0.2233,0
"spot 751",0.9574,0,0.0426
"spot 752",0.4788,0.5163,0.0048
"spot 753",1,0,0
"spot 754",1,0,0
"spot 755",0.8483,0.1517,0
"spot 756",0.8461,0.1539,0
"spot 757",0.8159,0.1012,0.0828
"spot 758",1,0,0
"spot 759",0.6735,0.2372,0.0892
"spot 760",1,0,0
"spot 761",0.4953,0.5047,0
"spot 762",0.9231,0.0769,0
"spot 763",0.832,0.0539,0.1141
"spot 764",0.6266,0.3734,0
"spot 765",0.8988,0,0.1012
"spot 766",0.8988,0.1012,0
"spot 767",1,0,0
"spot 768",0.9327,0,0.0673
"spot 769",0.9217,0,0.0783
"spot 770",0.6718,0.1282,0.1999
"spot 771",0.8319,0.1681,0
"spot 772",0.7581,0.2419,0
"spot 773",1,0,0
"spot 775",0.6222,0.3,0.0779
"spot 776",1,0,0
"spot 777",0.2167,0.7833,0
"spot 778",0.9336,0.0664,0
"spot 779",0.8292,0.1708,0
"spot 780",0.7775,0.2225,0
"spot 781",0.8975,0.1025,0
"spot 782",0.9307,0,0.0693
"spot 783",0.586,0.414,0
"spot 784",0.4869,0.3386,0.1746
"spot 785",1,0,0
"spot 786",0.6253,0.3747,0
"spot 787",0.8748,0.1252,0
"spot 788",0.96,0,0.04
"spot 789",0.638,0.362,0
"spot 790",1,0,0
"spot 791",0.8525,0.1475,0
"spot 792",0.6516,0.2319,0.1165
"spot 793",0.6731,0.3269,0
"spot 794",0.1093,0.6492,0.2414
"spot 795",0.7348,0.2652,0
"spot 796",0.9174,0.0826,0
"spot 797",1,0,0
"spot 798",0.856,0.144,0
"spot 799",0.7834,0.2166,0
"spot 800",1,0,0
"spot 801",0.9625,0,0.0375
"spot 802",0.9523,0.0477,0
"spot 803",0.9229,0.0771,0
"spot 804",0.8071,0.1929,0
"spot 805",0.9509,0.0491,0
"spot 806",0.955,0.045,0
"spot 807",1,0,0
"spot 808",0.714,0.1884,0.0976
"spot 809",1,0,0
"spot 810",0.8757,0.1243,0
"spot 811",1,0,0
"spot 812",1,0,0
"spot 813",0.3669,0.6331,0
"spot 814",1,0,0
"spot 815",1,0,0
"spot 816",0.7557,0.2443,0
"spot 817",1,0,0
"spot 818",0.9373,0,0.0627
"spot 819",1,0,0
"spot 820",0.6453,0.3547,0
